_id,description,price,sqmprice,area,year
ObjectId(628f89c0f0a625b2cc06fd62),,,,,
67301406,"Det er en fornøjelse at byde dig velkommen til Spelmanns Toft 26. Her får du en skøn beliggenhed direkte op til det fredet klitområde. Samtidig med du har Fanø unikke natur lige udenfor døren, har du kort afstand til både skole, daginstitution og centrum i Nordby. Huset er opført i 2008 og opvarmet med varmepumpe. Igennem hele huset finder du Dinesen plankegulve, og på de 173m2 bliver du budt velkommen indenfor i bryggerset, som har god opbevaringsplads. Herfra fortsætter du ind i det store køkken/alrum, hvor der er rig plads til gastronomisk udfoldelse omkring kogeøen. Hertil kommer spisepladsen, hvor middagen kan nydes med direkte udsyn til terrassen, desuden sofaafdelingen med brændeovn. Endvidere byder stueplan på godt badeværelse samt entré med opgang til 1.salen. Her finder du 4 gode værelser, stort badeværelse samt repos. Det stopper slet ikke endnu – udenfor venter nemlig 35m2 hobbyrum. Her er et væld af muligheder, det kan både bruges som anneks, værksted eller atelier. Der er direkte udgang til den sydvendte terrasse, hvor sommeren kan nydes i fulde drag!Spelmanns Toft 26 er absolut et besøg værd – og vi glæder os til at byde dig velkommen indenfor.",2.598.000,1.992,173,2008
67301252,"Beliggenhed, kvalitet og gennemførthed – det er hvad, der oser af på Spelmanns Toft 45. Huset er nemlig beliggende i trygt kvarter, hvor du har stisystemer til både skole, fritidsaktiviteter og centrum, samtidig med at Fanøs unikke natur venter lige rundt om hjørnet. Desuden er kvalitet og rene linjer den bedste beskrivelse af, hvad huset kan tilbyde dig – her er alt bare i orden!Huset er opført i 2014 med solceller på taget og jordvarmeanlæg – så her venter dig særdeles fornuftige forbrugsudgifter. Huset kan rumme hele familien og byder på hele 175m2. Du bliver budt velkommen indenfor i et funktionelt bryggers, hvorfra du kan fortsætte ind i husets samlingspunkt, nemlig det store køkken/alrum, hvor der er en fantastisk rumfornemmelse med loft til kip og skønt lysindfald. Her er flot køkken fra 2020, hvor maden kan tilberedes, mens samtalen fortsætter omkring spisebordet, og der hygges i sofaafdelingen. Endvidere byder stueplan på soveværelse med walk-in, stort badeværelse samt værelse. På 1.salen finder du 2 store værelser, badeværelse samt repos med plads til hyggehjørne. Udenfor venter en sydvendt have, hvor der er et skønt terrassemiljø, sådan sommerdagene virkelig kan nydes til fulde drag, imens børnene har rig plads til leg og sjov i den hyggelige have. Desuden finder du carport samt garage, hvor der er rig plads til at udfolde din hobby.Egentlig er Spelmanns Toft 45 noget ganske særligt – som skal opleves. Og vi glæder os til at byde dig velkommen til!",3.048.000,1.938,175,2014
67301310,"Atmosfære, kvalitet og gennemførthed - det er hvad, det oser af her på Valdemarsvej 3. Huset er fyldt med atmosfære, og fremtræder i flot Fanøhusstil udvendigt, og indvendigt er der anvendt ens kvalitetsmaterialer og stilen er gennemført igennem hele huset – her er alt bare i orden!Den flotte ejendom er opført i 1775, og byder på 102m2, som er totalrenoveret. Det byder på flot køkken fra 2018 med charmerende Fanøfliser. I forlængelse heraf venter stuen, hvor der er rig mulighed for at invitere gæster til en god middag. Stuen har også sofahjørne, der indbyder til afslapning, mens brændeovnen fuldender hyggen. Her er der rig mulighed for at ertablere et værelse i stueplan. I den rummelige entré er der adgang til badeværelset fra 2018, og i begge rum er der gulvvarme. Fra entréen kan du fortsætte op på 1.salen, hvor der er rummelig repos med adgang til stort soveværelse. Herligheden stopper slet ikke her. Der er nemlig fantastiske udendørsarealer, hvor du finder skøn sydvendt have, ligeledes er der også mulighed for parkering. Samtidig er det en rolig og charmerende beliggenhed, der venter dig, hvor du er tilbagetrukket fra Hovedgaden, men alligevel midt i Nordby. Denne skønne perle skal bare opleves – og vi glæder os sådan til at vise det frem til dig!",2.198.000,2.094,102,1775
67301342,"Beliggenhed, charme og hyggelige rammer – det er hvad, der beskriver Vigensvej 13 allerbedst. Her er du nemlig i hjertet af Nordby, og alligevel tilbagetrukket i roligt kvarter. Samtidig er huset fra 1810 særdeles charmerende, og du får bare sådan en hyggelig fornemmelse, når du ankommer til Fanøhuset med den røde facade, sprossede vinduer og stråtag – her summer egentlig bare af ægte idyl!Den hyggelige fornemmelse fortsætter indenfor, hvor du bliver budt velkommen i entréen, her er rig plads til overtøjet, og du kan forsætte ind i stuen, hvor charmen forsætter med masser af Fanøfliser på væggene. Herfra er der åben til spisestuen og køkkenet. Endvidere byder stueplan på 2 store soveværelser, 2 badeværelser samt stort bryggers, hvor anvendelsesmulighederne er mange. På 1.salen er er et værelse, og mulighed for at udnytte hele 1.salen. Udenfor venter hyggelig have med parkeringsplads på egen grund og drivhus.Det skønne Fanøhus er fredet, og det giver dig som ejer en række økonomiske fordele. Du skal ikke betale ejendomsskat, og der er skattemæssige fradrag til renovering mv. Hele hverdagen kan klares på Fanø – børnene kan få trygge rammer i den lokale skole og børnehave, indkøbene kan klares i de lokale butikker, fritiden kan fordrives i foreningslivet og hyggen kan klares i de charmerende gader eller på terrassen. Trænger du alligevel til lidt luftforandring? Så du blot 12 minutter fra Esbjerg. Sælger er et dødsbo, og der foreligger derfor ikke oplysninger om ejendommens forbrugsudgifter. Egentlig skal det bare opleves – og vi glæder os til at møde dig på Vigensvej 13.",2.298.000,1.518,159,1810
45503069,"Søger du en ren naturperle og landejendom i det skønne Odsherred? Så kan EDC i Asnæs tilbyde dig den rette vare lige her! Sælger har selv dyrket jorden og har ditto egenhændigt haft egen jagt på arealet på hobbyniveau. Således er ejendommen klar til kommende ejers fulde benyttelse.Ejendommen er under udstykning, og arealet der afhændes til kommende køber er på cirka 6,8 hektar.Beliggenheden er helt i særklasse på denne ejendom, som er placeret i udkanten af ""Bjergene"", der er et område som er totalt fredet og er omfattet af UNESCO's Geopark Odsherred, hvilket er med til at sikre området i fremtiden.Boligarealet er i selve stuehuset noteret til 149 kvm. og så er der i sidebygning til stuehuset indrettet yderligere bolig med 2 gode værelser, gæstebadeværelse og stort bryggers, som ikke er noteret hos myndighederne.Det officielle boligareal indeholder entré, soveværelse, 2 børneværelser, stor vestvendt opholdsstue med loft til kip og med terrassedøre til det åbne landskab, dejligt køkken / alrum  med terrasseudgang mod syd samt stue nr. 2 og med trappe til 1. sal, hvor der forefindes endnu en rummelig stue i dette skønne stuehus.Endvidere forefindes stor lade på 200 kvm. samt staldbygning på 140 kvm., hvor en del er med føromtalte inddragelse af bolig. Desuden er der stort værksted / fyrrum med solcelleanlæg, der årligt giver ca. 6.000 kWh. Der er gulvvarme via pillefyr i den officielle boligdel excl. ét soveværelse.",3.700.000,2.228,149,1890
45503564,"Velindrettet villa på 130 kvm. inkl. 20 kvm. indbygget udestue. Huset er beliggende på en stille og lukket villavej lige ved kanalen og bag kirken.Beliggende på en lukket grund med et gammelt udhus.Boligen indeholder: Rummelig entre med klinkegulv og naturgasfyr. Pænt badeværelse med brus. Åbent køkken i forbindelse med stue med spiseafdeling og opholdsafdeling. I stuen er der brændeovn og udgang til terrasse. Herudover er der 3 gode værelser. Huset trænger nogle steder til modernisering og istandsættelse.  Boligen er beliggende i Fårevejle Kirkeby, hvor der i nærheden findes gode indkøbsfaciliteter i Rema 1000, take away samt idrætsanlæg. Skole, bager, flere indkøbsfaciliter og station med timedrift mellem Holbæk og Nykøbing forefindes i Stationsbyen kun et par km. fra ejendommen. Og så er der kun ca. 4 km. til Ordrup by med skøn badestrand og masser af sommerliv via de små caféer, ishuse, minigolfbane etc.",895.000,2.103,110,1953
45503617,"Præsentabel & velindrettet villa på hele 174 kvm. - hele 5 soveværelser!Centralt beliggende, indflytningsklar og familievenlig villa i halvanden plan. Ejendommen er placeret i børnevenlig gåafstand til både skole, dagligevarebutik, bager og privatbane mellem Nykøbing Sjælland og Holbæk.I den nærliggende Fårevejle Kirkeby forefindes desuden idrætsanlæg, endnu en dagligvarebutik og en 18-hullers golfbane.Boligen indeholder: Stueetage med entré med pænt klinkegulv, og med videre adgang til fordelingsareal. Lys og meget rummelig stue med luft-til-luft varmepumpe samt brændeovn. Fra stuen er der adgang til sydvestvendt terrasse samt trappe til 1. sal. Dejligt køkken med parketgulv og mindre spiseplads. Nydeligt badeværelse fra 2009 med bruseniche. Soveværelse og 2 børneværelser - alle med indbyggede skabe. Bryggers med lyse skabe, klinker samt vaskemaskine og tørretumbler. 1. salen kan tilbyde yderligere 2 gode værelser, hvoraf det ene er med udgang til balkon. Depotrum. Disponibelt rum med mulighed for at opføre badeværelse eller ekstra toilet. Et uudnyttet loftrum (ikke medregnet i boligarealet) med særdeles gode alternative opbevaringsmuligheder.Til ejendommen hører desuden en velpasset have, en muret garage på 25 kvm. samt en dobbelt carport på 28 kvm.En perfekt bolig til den store børnefamilie eller pladskrævende familie. Book tid til en fremvisning!",1.850.000,1.944,174,1974
45503585,"Landvilla med hele 7,5 hektar jord i naturskønne Odsherred.Beliggenheden er helt i særklasse på denne ejendom, som er placeret i udkanten af ""Bjergene"", der er et område som er totalt fredet og er omfattet af UNESCO's Geopark Odsherred, hvilket er med til at sikre området i fremtiden.Jordarealet er bortforpagtet for ét år ad gangen, og der har altid været dyrket agerbrug på arealet. Udløb efter høst og efterlades som stubmark.Ejendommen er med et boligareal på 160 kvm. samt udhus/stald på 115 kvm. plus carport på 30 kvm. Boligen indeholder entré med fordelingsareal, 2 værelser, spisekøkken med udgang til meget stor træterrasse, ældre badeværelse, vinkelstue med luft-til-luft varmepumpe samt nyere tilbygning med soveværelse og stort nyere badeværelse.Via fordelingsareal er der videre adgang til bryggers/viktualierum med ældre oliefyr, og yderligere er der disponibelt rum og adgang til stort udhus/stald via bryggerset. Endvidere også udgang til carport.",2.995.000,1.961,160,1890
45503530,"TILLADELSE TIL BRUG AF EJENDOMMEN SOM FLEXBOLIG/FRITIDSBOLIG!Er du på udkig efter en roligt beliggende bolig, der kan rumme en hel familie, i landlige omgivelser og en skøn udsigt over åbne marker, bør du tage et nærmere kig på denne ejendom.Boligen der er opført i 1957 og tilbygget i 2004 er beliggende på en skrånende grund, hvilket har muliggjort at kældergulvet på den ene side af huset ikke ligger under terrænhøjde. Hele 157 boligareal og 38 kvadratmeter kælder har man at boltre sig på. Beliggenheden er helt speciel for denne ejendom, som er placeret i udkanten af ""Bjergene"", der er et område, som er totalt fredet og er omfattet af UNESCO's Geopark Odsherred, hvilket er med til at sikre området i fremtiden. I umiddelbar nærhed finder man både fine indkøbsmuligheder, skov, strand og golfbane.Boligen indeholder: Rummelig entré. Fordelingsgang med adgang til kæderen. Soveværelse + 2 gode børneværelser med loft til kip. Pænt køkken i hvide elementer med lille spiseplads samt udsigt over åbne marker. Fra køkkenet er der åbning til  lys stue med brændeovn og udgang til udestuen. Badeværelse med bruseniche. Kælder: Godt disponibelt rum (værelse). Vaske-/fyrrum med pillefyr og udgang til terrasse og baghaven. Til fyret hører desuden en stor træpillesilo, så man ikke behøver fylde piller på mere end en gang om året.Til huset hører også carport og lille rundbuehal, og der er lagt fibernet ind i ejendommen.",1.950.000,1.754,157,1966
